Kódy,Obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
554499,Aš,9766,4289,4254,276,37,0,219,0,169,369,155,53,43,16,20,373,0,10,153,1707,0,13,94,0,15,4,3,515,10
554502,Dolní Žandov,943,532,528,31,3,0,23,0,21,93,3,10,6,0,0,52,0,0,16,188,0,4,10,0,5,2,4,56,1
554511,Drmoul,769,486,481,49,2,0,22,0,42,31,2,3,6,0,0,51,0,0,11,181,0,1,22,0,3,0,3,51,1
554529,Františkovy Lázně,4700,2905,2886,340,7,0,173,0,122,205,36,27,29,5,22,337,0,5,142,967,0,15,75,0,16,11,5,328,19
554545,Hazlov,1239,638,626,37,1,0,29,0,25,77,6,10,12,1,2,53,0,2,10,234,0,1,26,0,0,0,0,100,0
554553,Hranice,1677,706,698,41,3,0,58,0,12,79,16,18,7,1,4,67,0,2,14,289,0,2,3,0,1,2,2,75,2
554481,Cheb,23954,12225,12153,934,57,0,905,0,935,1197,195,70,125,23,23,1141,0,9,380,4189,0,31,291,0,70,16,44,1489,29
538795,Krásná,474,264,262,5,0,0,11,0,14,20,6,2,1,2,4,20,0,0,7,138,0,0,1,0,1,0,0,30,0
554596,Křižovatka,210,118,118,3,1,0,17,0,9,19,0,2,0,0,0,2,0,0,1,55,0,0,2,0,0,0,0,7,0
554600,Lázně Kynžvart,1228,613,608,49,5,0,46,0,19,71,9,3,4,0,0,81,0,0,13,210,0,2,14,0,1,1,1,77,2
554618,Libá,592,301,297,27,2,0,22,0,16,28,0,2,2,1,2,39,0,0,2,112,0,2,2,0,0,0,0,37,1
554626,Lipová,586,299,297,22,2,0,15,0,18,23,3,1,8,0,1,22,0,1,10,115,0,1,4,0,1,0,4,45,1
554634,Luby,1809,852,843,49,2,0,78,0,34,63,10,15,4,10,1,69,0,2,18,346,0,2,34,0,1,3,2,98,2
554642,Mariánské Lázně,10572,5720,5675,686,26,0,369,0,177,391,58,30,65,5,8,1046,0,8,255,1741,0,11,198,0,37,6,6,538,14
554651,Milhostov,244,82,82,2,0,0,8,0,4,4,0,0,0,0,0,3,0,0,0,54,0,0,0,0,1,1,0,5,0
538906,Milíkov,223,141,141,17,1,0,7,0,14,14,2,1,5,0,0,15,0,0,1,35,0,1,6,0,0,0,2,19,1
554677,Mnichov,335,137,135,4,0,0,5,0,4,25,0,7,1,0,1,23,0,0,3,33,0,1,8,0,2,0,0,17,1
554693,Nebanice,278,162,159,6,0,0,12,0,19,28,2,4,4,0,0,7,0,0,4,50,0,1,1,0,0,1,0,20,0
554707,Nový Kostel,410,221,221,8,0,0,38,0,2,15,2,2,0,1,0,12,0,0,7,80,0,0,17,0,0,0,1,28,8
539554,Odrava,185,99,99,10,1,0,6,0,11,7,3,1,2,0,0,8,0,0,2,34,0,1,0,0,0,0,0,12,1
538922,Okrouhlá,199,108,107,7,0,0,8,0,6,12,1,2,7,0,1,7,0,0,0,37,0,1,2,0,1,0,0,15,0
539473,Ovesné Kladruby,97,52,52,7,1,0,1,0,0,3,3,1,0,0,0,18,0,1,1,12,0,1,2,0,0,0,0,1,0
554740,Plesná,1565,723,719,34,3,0,101,0,18,73,5,9,5,6,0,45,0,0,44,281,0,0,4,0,1,1,0,85,4
538817,Podhradí,164,79,79,8,1,0,2,0,2,7,1,0,3,0,0,3,0,1,1,33,0,1,4,0,0,0,0,10,2
538868,Pomezí nad Ohří,206,132,131,8,0,0,7,0,17,16,0,0,1,0,0,16,0,0,7,42,0,0,3,0,3,0,0,11,0
577979,Poustka,122,80,79,6,1,0,5,0,9,11,1,0,1,0,1,6,0,0,0,23,0,0,2,0,0,0,0,12,1
539538,Prameny,92,59,57,3,0,0,1,0,2,1,0,1,0,0,1,12,0,0,1,18,0,1,1,0,0,0,1,14,0
554812,Skalná,1511,777,770,59,1,0,83,0,24,56,7,5,4,2,0,60,0,0,13,325,0,1,18,0,1,1,3,107,0
539112,Stará Voda,389,196,196,7,0,0,11,0,6,33,4,1,2,0,0,21,0,0,6,60,0,1,4,0,1,1,0,37,1
555631,Teplá,2365,1058,1046,80,4,0,80,0,22,170,8,8,12,0,7,102,0,0,22,340,0,3,50,0,4,1,3,128,2
